Names,ep_02,ep_04,ep_06,ep_08,ep_10,ep_12
29032delaunayM2_10000_smooth,0.007505,0.02258,0.03955,0.05589,0.07051,0.08321
29032delaunayM2_10000_smoothpt2.1,0.006463,0.02048,0.03703,0.0533,0.06786,0.08038
29032delaunayM2_10000_smoothpt2,0.006463,0.02048,0.03703,0.0533,0.06786,0.08038
29032delaunayM2_20000_smooth,0.01171,0.02808,0.04314,0.05643,0.06897,0.08044
29032delaunayM2_20000_smooth2.1,0.009847,0.02534,0.04028,0.05402,0.06642,0.07795
84036M4delaunayM2_10000_smooth,0.008717,0.02616,0.04529,0.06353,0.0799,0.09323
84036M4delaunayM2_10000_smoothpt2.1,0.007617,0.02363,0.04204,0.06003,0.07638,0.08961
84036M4delaunayM2_10000_smoothpt2,0.007617,0.02363,0.04204,0.06003,0.07638,0.08961
84036M4delaunayM2_20000_smooth,0.01167,0.03057,0.04797,0.0641,0.07854,0.09245
84036M4delaunayM2_20000_smooth2.1,0.01025,0.02828,0.04569,0.06154,0.07547,0.08876
86857delaunayM2_10000_smooth,0.008781,0.02509,0.04147,0.05624,0.0688,0.08094
86857delaunayM2_10000_smoothpt2.1,0.008781,0.02509,0.04147,0.05624,0.0688,0.08094
86857delaunayM2_10000_smoothpt2,0.008781,0.02509,0.04147,0.05624,0.0688,0.08094
86857delaunayM2_20000_smooth,0.01736,0.03723,0.0513,0.06511,0.07812,0.09148
86857delaunayM2_20000_smooth2.1,0.01319,0.03124,0.04553,0.05792,0.07128,0.08433
88041M5delaunayM2_10000_smooth,0.0073,0.0203,0.03397,0.04727,0.05945,0.07049
88041M5delaunayM2_10000_smoothpt2.1,0.006015,0.01801,0.0315,0.04489,0.05708,0.06778
88041M5delaunayM2_20000_smooth,0.01138,0.02561,0.03731,0.04835,0.0604,0.07229
88041M5delaunayM2_20000_smooth2.1,0.009362,0.02281,0.03475,0.04608,0.0577,0.0699
AMNH167334delaunayM2_10000_smooth,0.008457,0.02433,0.04132,0.05752,0.07242,0.08609
AMNH167334delaunayM2_10000_smooth2.1,0.007169,0.02173,0.03819,0.05429,0.06934,0.08294
AMNH167334delaunayM2_20000_smooth,0.01106,0.02834,0.04427,0.05919,0.07295,0.08567
AMNH167334delaunayM2_20000_smooth2.1,0.009522,0.02585,0.04172,0.05684,0.07054,0.08306
B1180delaunayM2_10000_smooth,0.01392,0.03621,0.05889,0.0797,0.09782,0.1149
B1180delaunayM2_10000_smooth2.1,0.01153,0.0321,0.05417,0.07424,0.09198,0.1074
B1180delaunayM2_20000_smooth,0.01838,0.04335,0.06495,0.08623,0.1049,0.1227
B1180delaunayM2_20000_smooth2.1,0.01104,0.03094,0.05179,0.07068,0.08778,0.1018
B1402delaunayM2_10000_smooth,0.01168,0.03173,0.05222,0.07099,0.08792,0.1024
B1402delaunayM2_10000_smooth2.1,0.009842,0.02832,0.04821,0.06679,0.0833,0.09774
B1402delaunayM2_20000_smooth,0.01595,0.03799,0.05697,0.07417,0.09027,0.1049
B1402delaunayM2_20000_smooth2.1,0.0137,0.03461,0.05352,0.0708,0.08679,0.1007
B1402delaunayM2pt2_10000_smooth,0.01186,0.03213,0.05285,0.07171,0.08872,0.1028
B1402delaunayM2pt2_10000_smooth2.1,0.0101,0.02874,0.04885,0.06728,0.08421,0.09841
B1402delaunayM2pt2_20000_smooth,0.0152,0.03716,0.05633,0.07383,0.09001,0.1044
B1402delaunayM2pt2_20000_smooth2.1,0.01333,0.0342,0.05335,0.0707,0.08653,0.1007
B1426delaunayM2_10000_smooth,0.005606,0.01727,0.03041,0.04321,0.05545,0.06702
B1426delaunayM2_10000_smoothpt2.1,0.004882,0.01569,0.02839,0.04111,0.05341,0.06506
B1426delaunayM2_20000_smooth,0.006866,0.02002,0.03291,0.04405,0.05438,0.06508
B1426delaunayM2_20000_smooth2.1,0.006126,0.01862,0.0314,0.04238,0.05238,0.06328
B1715delaunayM2_10000_smooth,0.007263,0.02176,0.0378,0.05294,0.0667,0.07885
B1715delaunayM2_10000_smoothpt2.1,0.0063,0.0198,0.03525,0.05023,0.0639,0.07608
B1715delaunayM2_20000_smooth,0.008558,0.02347,0.03839,0.05223,0.06486,0.07604
B1715delaunayM2_20000_smooth2.1,0.007601,0.0219,0.03656,0.05026,0.06287,0.07386
B1720delaunayM2_10000_smooth,0.006572,0.02042,0.03626,0.05139,0.06548,0.07951
B1720delaunayM2_10000_smoothpt2.1,0.005274,0.01744,0.03234,0.04709,0.06051,0.07472
B1720delaunayM2_20000_smooth,0.007773,0.02179,0.03611,0.04995,0.0642,0.07732
B1720delaunayM2_20000_smooth2.1,0.006898,0.02044,0.03472,0.04827,0.06246,0.07519
B1735delaunayM2_10000_smooth,0.005809,0.01811,0.03175,0.04404,0.05456,0.06399
B1735delaunayM2_10000_smoothpt2.1,0.005136,0.01656,0.0297,0.04178,0.05222,0.06147
B1735delaunayM2_20000_smooth,0.006585,0.01933,0.03218,0.04343,0.05362,0.06219
B1735delaunayM2_20000_smooth2.1,0.005973,0.01818,0.03091,0.04218,0.052,0.06071
B1739delaunayM2_10000_smooth,0.008558,0.02514,0.04259,0.05813,0.07222,0.08419
B1739delaunayM2_10000_smoothpt2.1,0.007412,0.02273,0.03956,0.05511,0.06906,0.08091
B1739delaunayM2_20000_smooth,0.01107,0.02917,0.04544,0.06031,0.07329,0.08458
B1739delaunayM2_20000_smooth2.1,0.009732,0.02696,0.04309,0.05779,0.0709,0.08205
B1749delaunayM2_10000_smooth,0.005001,0.01577,0.02831,0.04038,0.05094,0.05928
B1749delaunayM2_10000_smoothpt2.1,0.004432,0.01452,0.02665,0.03854,0.04903,0.05731
B1749delaunayM2_20000_smooth,0.005812,0.01688,0.02852,0.03939,0.04859,0.05679
B1749delaunayM2_20000_smooth2.1,0.005252,0.0159,0.02746,0.03834,0.04757,0.05564
B1769delaunayM2_10000_smooth,0.006796,0.02162,0.03894,0.05602,0.0719,0.08566
B1769delaunayM2_10000_smoothpt2.1,0.00608,0.01996,0.03675,0.05362,0.06935,0.08302
B1769delaunayM2_20000_smooth,0.007701,0.02284,0.03928,0.0554,0.0697,0.08182
B1769delaunayM2_20000_smooth2.1,0.007055,0.02164,0.03786,0.054,0.06831,0.08037
B1794delaunayM1_10000_smooth,0.006587,0.02014,0.03549,0.05062,0.06503,0.07824
B1794delaunayM1_20000_smooth,0.008098,0.0227,0.03726,0.05126,0.06462,0.0769
B1794delaunayM2_10000_smooth,0.008513,0.0262,0.04627,0.06576,0.08449,0.1005
