Specimen,Genus,species,Site,Age,tooth,Wear_stage,ariaDNE_10000_EEC_ep_02,ariaDNE_10000_EEC_ep_04,ariaDNE_10000_EEC_ep_06,ariaDNE_10000_EEC_ep_08,ariaDNE_10000_EEC_ep_10,ariaDNE_10000_EEC_ep_12,ariaDNE_10000_BCO_ep_02,ariaDNE_10000_BCO_ep_04,ariaDNE_10000_BCO_ep_06,ariaDNE_10000_BCO_ep_08,ariaDNE_10000_BCO_ep_10,ariaDNE_10000_BCO_ep_12,ariaDNE_20000_EEC_ep_02,ariaDNE_20000_EEC_ep_04,ariaDNE_20000_EEC_ep_06,ariaDNE_20000_EEC_ep_08,ariaDNE_20000_EEC_ep_10,ariaDNE_20000_EEC_ep_12,ariaDNE_20000_BCO_ep_02,ariaDNE_20000_BCO_ep_04,ariaDNE_20000_BCO_ep_06,ariaDNE_20000_BCO_ep_08,ariaDNE_20000_BCO_ep_10,ariaDNE_20000_BCO_ep_12
MLD2,Australopithecus,africanus,Makapansgat,3,LLM2,1,0.01198,0.03064,0.05061,0.07143,0.09187,0.1103,0.01333,0.03361,0.05273,0.07,0.08569,0.09993,0.01388,0.03437,0.05489,0.07554,0.09593,0.1157,0.01668,0.03992,0.0595,0.07823,0.09595,0.1111
STW 3,Australopithecus,africanus,Sterkfontein,2.55,LLM2,1.4,0.01526,0.03744,0.05756,0.07488,0.0937,0.1117,0.01839,0.04493,0.06645,0.0837,0.09448,0.1036,0.0201,0.04393,0.06523,0.08424,0.1042,0.1217,0.02164,0.04952,0.06987,0.08731,0.09985,0.1109
STW 109,Australopithecus,africanus,Sterkfontein,2.55,LRM2,3.8,0.005366,0.01624,0.02901,0.04263,0.0566,0.07026,0.005608,0.01605,0.02637,0.03508,0.04199,0.04691,0.006504,0.01764,0.02982,0.04288,0.0565,0.07004,0.007203,0.01804,0.02735,0.03525,0.04166,0.04671
STW 133,Australopithecus,africanus,Sterkfontein,2.55,LLM2,1.6,0.01116,0.02941,0.04489,0.05689,0.06645,0.075,0.008395,0.02368,0.03925,0.0546,0.06999,0.08595,0.023,0.05428,0.08079,0.1035,0.1269,0.1486,0.01157,0.02749,0.04187,0.05681,0.07334,0.09025
STW 213,Australopithecus,africanus,Sterkfontein,2.55,LLM2,3.6,0.009704,0.02646,0.0423,0.05511,0.06578,0.07574,0.007714,0.02233,0.03784,0.05401,0.06962,0.08501,0.01255,0.0305,0.0453,0.05797,0.06934,0.07996,0.009788,0.02515,0.04023,0.05587,0.07126,0.08643
STW 234,Australopithecus,africanus,Sterkfontein,2.55,LRM2,3.6,0.007015,0.01996,0.03403,0.04844,0.06343,0.07851,0.007564,0.0202,0.03239,0.04316,0.05308,0.06222,0.008603,0.02167,0.0352,0.04951,0.0644,0.07972,0.009137,0.02183,0.03322,0.04369,0.05266,0.06364
STW 295,Australopithecus,africanus,Sterkfontein,2.55,LLM2,5.2,0.006718,0.02009,0.03421,0.04856,0.06304,0.07746,0.006314,0.01827,0.02815,0.03614,0.04607,0.05906,0.008162,0.02192,0.03541,0.04925,0.06362,0.07814,0.007285,0.01931,0.02774,0.03805,0.04903,0.05998
STW 308,Australopithecus,africanus,Sterkfontein,2.55,LRM2,1,0.01467,0.03804,0.05898,0.07686,0.09281,0.1065,0.0126,0.03291,0.05176,0.0694,0.08665,0.1045,0.01939,0.04442,0.06502,0.08377,0.1006,0.1171,0.01679,0.03851,0.05734,0.07623,0.09651,0.1153
STW 327,Australopithecus,africanus,Sterkfontein,2.55,LLM2,1.4,0.009143,0.0255,0.04111,0.05542,0.07004,0.08415,0.01128,0.03103,0.04827,0.06128,0.07241,0.08068,0.01216,0.02916,0.04339,0.05828,0.07353,0.08948,0.0151,0.03617,0.05174,0.06412,0.07577,0.08469
STW 412A,Australopithecus,africanus,Sterkfontein,2.55,LRM2,1,0.01833,0.04766,0.07441,0.09757,0.119,0.1403,0.01512,0.03971,0.06276,0.08412,0.1069,0.1265,0.01157,0.02749,0.04187,0.05681,0.07334,0.09025,0.01962,0.04595,0.06881,0.09166,0.1158,0.1365
STW412B,Australopithecus,africanus,Sterkfontein,2.55,LLM2,,0.01496,0.03951,0.06312,0.08556,0.109,0.1328,0.01808,0.04663,0.07394,0.09896,0.1219,0.1428,0.01862,0.04472,0.06918,0.09295,0.1175,0.1413,0.02196,0.05215,0.0786,0.1036,0.1269,0.1491
