Genus,Institution,Specimen,ep_02,ep_04,ep_06,ep_08,ep_10,ep_12
Arctocebus,USNM-511930,M742-622,0.02363,0.04998,0.07806,0.1024,0.1241,0.1459
Arctocebus,USNM-377275,M738-618,0.02031,0.04216,0.0669,0.0913,0.1126,0.1325
Hapalemur,USNM-063355,M718-598,0.03303,0.05051,0.07134,0.09187,0.1113,0.129
Hapalemur,USNM-063356,M722-602,0.02843,0.0439,0.06188,0.07837,0.09431,0.1094
Hapalemur,USNM-083668,M726-606,0.02467,0.03943,0.05937,0.07882,0.0972,0.1146
Hapalemur,USNM-084386,M730-610,0.03191,0.04767,0.06687,0.08408,0.09987,0.1159
Hapalemur,USNM-317966,M734-614,0.02791,0.04722,0.06976,0.09026,0.1085,0.1263
Indri,AMNH-M-100505,M700-1938,0.02007,0.03579,0.05428,0.07309,0.09145,0.108
Indri,AMNH-M-100506,M702-1940,0.02408,0.0419,0.062,0.08152,0.09991,0.1167
Indri,AMNH-M-100507,M704-1944,0.01561,0.03246,0.05111,0.06992,0.08793,0.104
Indri,AMNH-M-100508,M706-1942,0.02166,0.03799,0.0576,0.07734,0.0957,0.1128
Indri,AMNH-M-100816,M708-1946,0.02131,0.03649,0.05334,0.07081,0.08753,0.1037
Mirza,MCZ-45124,M714-594,0.02125,0.03807,0.0583,0.07863,0.09827,0.1199
Phaner,MCZ-44953,M710-590,0.01904,0.03274,0.05162,0.07178,0.09171,0.1107
Prolemur,BMNH-8410204,M2034-1843,0.03204,0.04938,0.068,0.08627,0.1044,0.1225
